Status,Title,IPC,Application Number,Application Date,Applicant,Holder,Citations,Abstract
등록,블록체인 기반의 머신러닝 학습 모델 무 신뢰 기반 거래 시스템 및 거래 방법(Blockchain based Machine learning training model trading method without trust),"G06Q 30/08, G06Q 30/06, G06N 20/00",N/A,N/A,1020190156371 (2019.11.29),N/A,N/A,"블록체인 기반의 머신러닝 학습 모델 무 신뢰 기반 거래 시스템가 개시되어 있다. 본 발명은, 기계학습 모델 개발을 요청하는 클라이언트이며 웹 서버에 학습 데이터를 등록하고, 학습 모델 개발이 끝나면 블록체인에서 학습 모델을 다운로드하여 정확도를 검증하고 비용을 지불하는 주체이며 블록체인 및 웹서버와 연동하는 웹 어플리케이션 로직을 포함하는 기계학습 클라이언트(MLC); 기계학습 모델 개발을 수행하는 주체이며, MLC가 웹 서버에 학습데이터를 등록하면 다운로드하여 학습 모델을 개발하고, 개발이 끝나면 블록체인에 학습 모델을 등록하고 개발비용을 지불 받는 주체이며, 블록체인 등과 연동하는 웹 어플리케이션 로직을 포함하는 기계학습 모델개발자(MLSP); 한번 등록하면 변조할 수 없고 기록이 영구적으로 지속되는 분산 원장 기술이며, MLC와 MLSP가 모델을 등록하고, 토큰을 관리하고, 평판을 관리할 수 있는 스마트 컨트랙트 로직을 포함하는 블록체인; 및 상기 기계학습 클라이언트가 암호화된 학습데이터를 등록하는 웹서버이며 업로드 및 다운로드의 기능을 수행하는 데이터베이스 로직을 포함하는 웹서버;를 포함하는 것을 특징으로 한다."
거절,스마트 플랜트에 관한 머신러닝 기반 설비 관리 방법 및 시스템(METHOD AND SYSTEM FOR MANAGING EQUIPMENT OF SMART PLANT USING MACHINE-LEARNING),"G05B 19/418, G05B 23/02, G06Q 10/06, G06N 20/00",N/A,N/A,1020210182358 (2021.12.20),N/A,N/A,"본 발명의 일 실시예에 따르는, 스마트 플랜트에 관한 머신러닝 기반 설비 관리 시스템에 의해 수행되는 설비 관리 방법은 (a) 플랜트에 사용되는 복수의 배관 별 주요 파라미터 정보를 수집하는 단계; (b) 수집된 주요 파라미터 정보를 기초로 군집화 알고리즘을 통해 복수의 배관을 제1 집단 내지 제N 집단으로 군집화하는 단계; 및 (c) 각 집단 별 기저장된 배관의 두께 측정 검사결과 또는 이상현상 발생에 의한 업무빈도에 따른 이력 정보에 기초하여 각 집단 별 검사주기를 자동 설정하는 단계를 포함한다."
공개,준지도 학습에 기반한 머신러닝 모델 학습 방법(Machine learning model training method based on semi-supervised learning),"G06N 20/00, G06N 7/01",N/A,N/A,1020220155641 (2022.11.18),N/A,N/A,"본 발명의 일 실시 예에 따른 준지도 학습에 기반한 머신러닝 모델 학습 방법은, 라벨링된 데이터를 제1 입력값으로 사용하여 머신러닝 모델에 입력하여 제1 출력값을 산출하는 단계; 상기 제1 입력값과 연관된 제1 기준값 및 상기 제1 출력값에 기반하여 제1 손실함수를 획득하는 단계; 라벨링 안된 데이터를 제2 입력값으로 사용하여 상기 머신러닝 모델에 입력하여 제2 출력값을 산출하는 단계; 의사 라벨링 기법을 통해 상기 제2 입력값과 연관된 제2 기준값을 산출하는 단계; 상기 제2 기준값 및 상기 제2 출력값에 기반하여 제2 손실함수를 획득하는 단계; 및 상기 제1 손실함수 및 상기 제2 손실함수를 사용하여 전체 손실함수를 획득하고, 상기 전체 손실함수를 기반으로 상기 머신러닝 모델을 학습하는 단계;를 포함하고, 상기 머신러닝 모델이 상기 제2 기준값의 클래스 별 확률 분포를 사용하여 엔트로피를 산출하는 단계; 및 상기 산출된 엔트로피를 기반으로 제3 손실함수를 획득하는 단계를 추가적으로 포함하고, 상기 전체 손실함수의 획득에는 상기 제3 손실함수를 추가적으로 사용하는 것을 특징으로 한다. 이에 따라, 머신러닝 모델의 학습 과정에서 의사 레이블의 클래스 별 비율이 고르게 나타나도록 유도됨으로써, 모델이 특정 클래스에 대해 학습되지 않거나 특정 클래스에 대해서만 과학습하여 다수로 예측하는 형태의 확증 편향을 방지할 수 있다."
등록,머신러닝 가속기 및 그의 행렬 연산 방법(MACHINE LEARNING ACCELERATOR AND MATRIX OPERATING METHOD THEREOF),"G06N 3/063, G06N 20/00, G06F 17/16",N/A,N/A,1020180131185 (2018.10.30),N/A,N/A,"본 발명의 일 실시예에 따른 머신러닝 가속기 및 그의 행렬 연산 방법은, N x N 개의 연산기로 이루어진 행렬 연산 유닛을 포함하는 머신러닝 가속기의 행렬 연산 방법에 있어서, a) 상기 행렬 연산 유닛의 제1 방향, 제2 방향, 제3 방향 및 제4 방향에서 전송되는 각 데이터가 교차되는 영역을 데이터 전송 경계선으로 설정하고, 상기 데이터 전송 경계선을 기준으로 제1 구역과 제2 구역으로 구분한 후 상기 제1 구역과 제2 구역 간의 데이터 전송을 제한하는 단계; b) 상기 행렬 연산 유닛은 상기 제1 방향, 제2 방향, 제3 방향 및 제4 방향 중 적어도 2방향에서 입력 데이터가 입력되는 단계; 및 c) 상기 N x N 개의 연산기는 매 사이클마다 상기 입력 데이터를 이용하여 연산 처리하고, 상기 행렬 연산 유닛은 각 연산기의 연산 결과들을 합산하여 열 방향으로 출력하는 단계를 포함하되, 상기 데이터 전송 경계선에 위치한 연산기들은 상기 제1 구역에서 전송되는 데이터를 이용한 연산 및 상기 제2 구역에서 전송되는 데이터를 이용한 연산을 각각 수행하는 것이다."
공개,머신러닝 모델을 사용하여 특정 질병에 관련된 미생물 군집 데이터를 도출하는 방법(A METHOD OF DISCOVERING DISEASE-RELEVANT MICROBIAL CONSORTIA USING MACHINE-LEARNING MODEL),"G16B 40/00, G16B 30/10, G16B 45/00, G16B 50/00, G06N 20/00",N/A,N/A,1020230171560 (2023.11.30),N/A,N/A,"본원발명은 어떠한 질병에 유효한 프로바이오틱스 개발을 위한 질병 특이적 미생물 군집을 도출하기 위한 것이다. 구체적으로, 본원발명은 (1) 세균총 데이터(a taxonomy abundance table)를 전처리한, 특정 질병 관련 후보 미생물 군집 데이터(이하, 후보군 컨소시엄)를 도출하고 (2) 이를 머신러닝 모델에 학습시키고, 그 중 가장 성능이 좋은 모델을 선정하여 질병-미생물 컨소시엄을 도출하는 과정을 거친다."
공개,심리상담 챗봇 머신러닝 모델의 취약성 검증을 위한 적대적 데이터 생성 방법(Adversarial data generation method for vulnerability validation of psychological counseling chatbot machine learning model),"G06N 3/094, G06N 3/096, G06N 3/00, G06F 40/284, G06F 40/205, H04L 51/02",N/A,N/A,1020220177267 (2022.12.16),N/A,N/A,"본 발명의 제1 특징에 따른 심리상담 챗봇 머신러닝 모델의 취약성 검증을 위한 적대적 데이터 생성 방법은, 사용자 질문 데이터 및 챗봇 답변 데이터를 포함하는 입력 데이터셋에서 상기 사용자 질문 데이터의 기본 문장에 대해 토큰화를 수행하고 토큰 별로 중요도를 산출하는 단계; 상기 산출된 토큰 별 중요도를 기반으로 토큰을 선택하여 상기 선택된 토큰에 마스킹을 수행한 후 상기 선택한 토큰과 교체할 후보 토큰을 예측하는 단계; 상기 후보 토큰과 상기 선택된 토큰의 품사가 동일한지 여부 및 상기 후보 토큰으로 교체된 문장과 상기 기본 문장이 유사한지 여부를 판단하여 상기 후보 토큰 중에서 실제 교체할 교체 토큰을 필터링하는 단계; 및 상기 교체 토큰을 사용한 변경 문장을 기반으로 머신러닝 모델에 대한 적대적 데이터를 생성하는 단계를 포함하는 것을 특징으로 한다. 이에 따라, 적대적 공격의 성공 기준에 대한 정량화가 가능해진다."
공개,협동로봇 및 머신러닝을 활용한 소재 자율 개발 방법 및 시스템(METHOD AND SYSTEM FOR AUTONOMOUS DEVELOPMENT OF MATERIAL USING COLLABORATIVE ROBOT AND MACHINE LEARNING),"G16C 20/70, C09K 11/02, C09K 11/66, B25J 11/00, G06N 20/10, G06N 20/20",N/A,N/A,1020220174458 (2022.12.14),N/A,N/A,"협동로봇 및 머신러닝을 활용한 소재 자율 개발 방법 및 시스템을 개시한다. 일실시예에 따른 소재 자율 개발 방법은 컴퓨터 장치와 통신하는 협동로봇을 이용하여 제1 개발 소재를 합성하는 제1 단계, 상기 합성된 제1 개발 소재의 소재 특성을 분석한 분석 결과 데이터를 입력받는 제2 단계, 상기 분석 결과 데이터를 이용하여 머신러닝 모듈을 학습시키는 제3 단계, 상기 학습된 머신러닝 모듈을 이용하여 상기 제1 개발 소재와 적어도 일부가 상이한 제2 개발 소재의 소재 특성을 예측하는 제4 단계 및 상기 예측된 제2 개발 소재의 소재 특성에 기반하여 상기 제2 개발 소재에 대해 상기 제1 단계 내지 상기 제4 단계를 반복 수행하는 제5 단계를 포함할 수 있다."
등록,머신러닝 기반의 AI 블루 OCR 판독 시스템 및 판독 방법(AI BLUE OCR READING SYSTEM AND METHOD BASED ON MACHINE LEARNING),"G06V 30/412, G06V 10/94, G06V 30/12, G06V 30/14, G06V 10/77, G06N 20/00",N/A,N/A,1020230024875 (2023.02.24),N/A,N/A,"본 발명에 따른 머신러닝 기반의 AI 블루 OCR 판독 시스템은 다양한 양식의 문서를 입력 받아 머신러닝 기반으로 학습된 학습모델을 이용하여 문서의 문자와 각 양식의 칸의 형태를 분석하고 입력된 이미지 문서를 복수의 페이지씩 한 번에 판독하는 OCR 장치; 및 복수의 상기 OCR 장치들로부터 학습모델을 전달받아 병합하여 문서 인식률이 향상된 학습모델을 생성하고, 해당 학습모델을 상기 OCR 장치에 배포하는 OCR 서버;를 포함하여 복수 페이지의 이미지 문서를 한번에 판독할 수 있어 신속하게 문서를 판독할 수 있는 효과가 있다."
등록,"머신러닝 기반 플랫폼을 이용한 공정제어방법, 그를 수행하기 위한 컴퓨터 프로그램 매체 및 공정제어장치(PROCESS CONTROL METHOD USING MACHINE LEARNING-BASED PLATFORM, COMPUTER PROGRAM MEDIUM FOR PERFORMING SAME, AND PROCESS CONTROL APPRATUS)","B01D 3/42, G06N 20/00",N/A,N/A,1020200048668 (2020.04.22),N/A,4,"본 발명은 (a) 과거의 공정데이터를 분석하여 공정변수 중에서 과거의 핵심 입력변수 및 과거의 핵심 출력변수를 포함하는 핵심변수를 추출하는 단계; (b) 상기 과거의 핵심 입력변수 및 하이퍼-파라미터(hyper-parameter)를 입력으로, 상기 과거의 핵심 출력변수를 출력으로 하여 머신러닝 (인공신경망, neural networks) 모델을 학습시키는 단계; (c) 학습된 상기 머신러닝 모델이 목표로 하는 예측성능에 도달한지를 검증하여 목표로 하는 상기 예측성능에 도달한 공정지능화 모델을 얻는 단계; 및 (d) 상기 공정지능화 모델을 이용하여 목표로 하는 핵심 출력변수의 값으로부터 목표로 하는 핵심 입력변수의 값을 추출하는 단계;를 포함하는 공정제어방법에 관한 것이다. 본 발명에 따른 공정제어방법 및 그를 포함하는 공정제어장치는 머신러닝을 통한 경험적 모델(AI 모델, 공정지능화 모델)을 도출함으로써, 복잡하게 구성된 공정시스템이나 거대한 크기의 현장에 대하여 적은 시간과 비용으로 분석이 가능할 수 있다."
등록,"머신러닝 기반 인공지능 모델 학습, 개발, 배포 및 운영 시스템과 이를 이용한 서비스 방법(MACHINE LEARNING BASED ARTIFICIAL INTELLIGENCE MODEL LEARNING, DEVELOPMENT, DEPLOYMENT AND OPERATION SYSTEM SERVICE METHOD USING THE SAME)","G06Q 10/06, G06Q 10/10, G06Q 10/04",N/A,N/A,1020200164624 (2020.11.30),N/A,3,"머신러닝 기반 인공지능 모델 학습, 개발, 배포 및 운영 시스템과 이를 이용한 서비스 방법을 개시한다. 본 발명은 기업의 인공지능 분석가들이 개인별, 프로젝트별 세팅이 가능하여 개인 맞춤형으로 분석환경을 구축할 수 있고, 포탈 솔루션으로 포털 형식을 취함으로써 다양한 오픈 소스 분석툴 및 언어를 선택적으로 활용할 수 있으며, 다양한 툴의 활용을 통해 유연하고 확장성이 높은 장점이 있다."
등록,데이터 불균형 환경에서 머신러닝 모델을 통해 공정 불량 원인을 도출하고 시각화하는 방법(Method of Deriving and Visualizing the Causes of Process Malfunctions Through Machine Learning Model In Data Imbalance Environment),"G06Q 50/04, G06N 20/00, G06Q 10/04, G06Q 10/06",N/A,N/A,1020170158862 (2017.11.24),N/A,6,"데이터 불균형 환경에서 머신러닝 모델을 통해 공정 불량 원인을 도출하고 시각화하는 방법이 개시된다. 이 방법은, 복수의 공정들에 각각 설치되는 적어도 하나 이상의 센서에서 측정된 품질 검사 결과 데이터를 포함하는 제1 데이터와 공정 데이터를 포함하는 제2 데이터를 획득하는 단계와, 제1 데이터 및 제2 데이터 각각의 개별 데이터를 전처리하는 단계와, 전처리된 개별 데이터를 통합하여 분석대상 데이터를 생성하는 단계와, 분석대상 데이터를 전처리하는 단계와, 전처리된 분석대상 데이터에 기초하여 불량 예측모델을 생성하는 단계와, 불량 원인을 복수의 변수기준으로 머신러닝 모델링 또는 의사결정나무를 통해 원인인자 또는 불량원인인자를 분석하는 단계와, 분석하는 단계의 분석 결과에 기초하여 불량 원인 지수를 도출하는 단계를 포함한다."
등록,머신러닝 기반 주파수 분석을 이용한 고장 진단 장치 및 방법(Fault diagnosis apparatus and method using frequency analysis based on machine-learning),G05B 23/02,N/A,N/A,1020190156396 (2019.11.29),N/A,N/A,"본 발명은 고장 진단 기술에 관한 것으로서, 상세하게는 센서신호의 시간 변화에 따른 특징 및 주파수 특징을 머신러닝 기반으로 분석하여 시간에 따라 특성이 변하는 복잡한 설비의 상태를 효과적으로 진단할 수 있는 머신러닝 기반 주파수 분석을 이용한 고장 진단 장치 및 방법에 관한 것이다. 이를 위해, 본 발명에 따른 머신러닝 기반 주파수 분석을 이용한 고장 진단 장치는 설비에 대한 센싱 신호를 입력 받아 신호 입력 벡터를 생성하는 입력 벡터 생성부와, 상기 센싱 신호를 주파수 변환하여 주파수 변환 벡터를 생성하는 신호 변환부와, 상기 신호 입력 벡터 및 주파수 변환 벡터를 입력 받고 딥러닝 기반 모델을 통해 분석하여 설비에 대한 상태 진단 결과를 출력하는 분석부를 포함한다."
등록,머신러닝 기반의 GRE 영상을 활용한 혈전 분류 방법 및 시스템(METHOD AND SYSTEM FOR CLASSIFYING BLOOD CLOT IN GRADIENT ECHO IMAGES BASED ON MACHINE LEARNING),"G16H 50/20, G16H 50/30, G16H 50/70",N/A,N/A,1020180168341 (2018.12.24),N/A,3,"본 발명은 머신러닝 기반의 GRE 영상을 활용한 혈전 분류 방법 및 시스템에 관한 것이다. 본 발명은 영상획득부가 GRE(Gradient echo)영상을 획득하는 단계와, 병변검출부가 인공신경망 모델을 이용하여 획득한 GRE영상에서 병변 영역을 검출하는 단계와, 상기 패치영역설정부가 검출된 병변 영역을 일정한 크기의 패치영역으로 설정하고, 3차원 방향의 프로젝션을 통해 패치영역을 재설정하는 단계와, 혈전분류부가 인공신경망 모델을 이용하여 패치영역에서 혈전을 분류하는 단계를 포함한다."
공개,데이터 기반의 머신러닝 모델 파이프라인을 자동으로 생성하기 위한 시스템(SYSTEM FOR GENERATING AUTOMATICALLY MACHINE LEARNING MODEL PIPELINE BASED ON DATA),"G06N 20/00, G06V 10/72, G06V 10/764",N/A,N/A,1020220166600 (2022.12.02),N/A,N/A,"본 발명은 데이터 기반의 머신러닝 모델 파이프라인을 자동으로 생성하기 위한 시스템에 관한 것으로, 특정 머신러닝 모델의 평가를 위한 학습데이터를 수집하는 데이터 수집장치와, 데이터 수집장치로부터 수집된 학습데이터에 대해 전처리를 수행하고, 해당 전처리 수행된 학습데이터의 카테고리를 분류하며, 해당 분류된 카테고리와 동일하거나 유사한 카테고리에 해당하는 오퍼레이터들 중에서 다른 사용자들의 사용 횟수에 따른 기 설정된 사용자 인기도에 따라 사용자 인기 오퍼레이터들을 추천함과 아울러 해당 추천된 사용자 인기 오퍼레이터들 중에서 해당 전처리 수행된 학습데이터와 유사한 오퍼레이터들을 추천하는 데이터 분석장치와, 데이터 분석장치로부터 추천된 유사한 오퍼레이터들을 바탕으로 별도의 오퍼레이터 데이터베이스(DB)를 이용하여 해당 추천된 유사한 오퍼레이터들에 대한 정보데이터를 로딩하는 오퍼레이터 로더장치와, 오퍼레이터 로더장치로부터 로딩된 유사한 오퍼레이터들에 대한 정보데이터를 기반으로 해당 특정 머신러닝 모델의 생성을 진행할 수 있도록 파이프라인을 자동으로 구성하여 해당 특정 머신러닝 모델에 대한 파이프라인을 생성하는 오퍼레이터 구성장치를 포함함으로써, 비전문가도 손쉽게 머신러닝 모델 개발(ML Dev)과 머신러닝 모델 운영(MLOps)을 한 번에 구성할 수 있는 효과가 있다."
공개,머신러닝 기반의 세탁기 언밸런스 에러 검출 방법 및 세탁기(METHOD FOR INSPECTING UNBALANCE ERROR OF WASHING MACHINE AND WASHING MACHINE),"D06F 34/16, D06F 34/18, D06F 34/28, D06F 33/48, G06N 3/08, G08B 3/10",N/A,N/A,1020190101988 (2019.08.20),N/A,1,"머신러닝 기반의 세탁기 언밸런스 에러 검출 방법 및 세탁기가 개시된다. 본 발명의 일 실시예에 따른 언밸런스 에러 검출 방법은, 세탁기 또는 서버의 AI 장치에 구비된 포 유동 식별 모델을 이용하여 포 유동 여부를 식별하고, 비 유동 상태인 경우 언밸런스에 관한 데이터를 바탕으로 언밸런스값을 측정하여 언밸런스 에러를 검출한다. 별도의 추가 부품없이 언밸런스 에러를 보다 정확하게 검출할 수 있다는 이점이 있다. 본 발명의 언밸런스 에러를 검출하는 AI 장치는 드론(Unmanned Aerial Vehicle, UAV), 로봇, 증강 현실(Augmented Reality, AR) 장치, 가상 현실(virtual reality, VR) 장치, 5G 서비스와 관련된 장치 등과 연계될 수 있다."
등록,머신러닝 기반의 관류 영상에서 동맥유입함수 및 정맥유출함수 영역 선정 방법 및 시스템(METHOD AND SYSTEM FOR SELECTING ARTERIAL INPUT FUNCTION AND VENOUS OUTPUT FUNCTION AREA FROM PERFUSION IMAGE BASED ON MACHINE LEARNING),"G16H 50/70, G16H 50/20, G06T 5/70, G16H 30/40, A61B 5/055, A61B 6/03",N/A,N/A,1020180138190 (2018.11.12),N/A,N/A,"머신러닝 기반 관류 영상의 동맥유입함수(AIF) 및 정맥유출함수(VOF) 영역 선정 방법 및 시스템이 개시된다. 상기의 방법은 영상획득부가 관류(Perfusion)영상을 획득하는 단계와, 노이즈제거부가 획득한 관류영상에서 뼈 또는 비이상적인 신호를 포함하는 복셀(Voxel)을 제거하는 단계와, 영역분류부가 기계학습을 이용하여 클러스터를 분류하는 단계와, AIF/VOF선정부가 인공지능 학습 알고리즘을 통해 상기 클러스터 중에서 동맥유입함수(AIF) 및 정맥유출함수(VOF) 영역의 위치를 선정하는 단계를 포함한다."
공개,머신러닝 및 자연어처리를 이용한 사이버 위협 탐지 방법 및 장치(A method and apparatus for cyber threat detection using machine learning and natural language processing),"H04L 9/40, G06N 20/00, G06F 40/279, G06F 40/237, H04L 69/22",N/A,N/A,1020220145572 (2022.11.03),N/A,N/A,"본 발명은 머신러닝 및 자연어처리를 이용한 사이버 위협 탐지 방법 및 장치에 관한 것이다. 본 발명의 일 실시예에 따른 머신러닝 및 자연어처리를 이용한 사이버 위협 탐지 방법은, (a) 사이버 위협 데이터를 수신하는 단계; (b) 상기 수신된 사이버 위협 데이터로부터 헤더(header) 정보를 추출하는 단계; 및 (c) 상기 헤더 정보를 위협 탐지 모델에 적용하여 상기 사이버 위협 데이터에 대한 사이버 위협 탐지를 수행하는 단계;를 포함할 수 있다."
공개,머신러닝에 기반한 가상 현실 멀미 저감 시스템 및 방법(VIRTUAL REALITY MOTION SICKNESS REDUCTION SYSTEM AND METHOD BASED ON MACHINE LEARNING),"G06F 3/01, G06N 20/00, A61B 5/00",N/A,N/A,1020220171015 (2022.12.08),N/A,N/A,"가상 현실 장치로부터 가속도 데이터 및 각속도 데이터를 수신하고, 미리 학습된 머신러닝 모델에 가속도 데이터를 입력하여, 가속도 데이터에 대응되는 임계치를 생성하며, 및 가속도 데이터가 상기 임계치를 초과하면, 각속도 데이터를 이용하여 가속도 데이터를 보정하는, 멀미 저감 방법을 제공한다."
등록,머신러닝 기반의 MPPT 동작전압 최적화를 위한 태양광 모듈 직병렬 변환시스템(PV module serial/parallel conversion system for MPPT operating voltage optimization based on machine learning),"H02J 3/38, G05F 1/67",N/A,N/A,1020190132654 (2019.10.24),N/A,1,"본 발명은 머신러닝 기반의 MPPT 동작전압 최적화를 위한 태양광 모듈 직병렬 변환시스템에 관한 것으로서 더욱 상세하게는 복수의 태양광패널 또는 복수의 태양광패널군에 각각 연결되는 인버터에서 최대 출력점(MPP) 이하의 입력 전력이 이루어지는 경우에도 복수의 태양광패널 또는 복수의 태양광패널군의 출력이 취합되도록 함에 따라 흐린 날씨 또는 일출, 일몰시와 같은 태양광패널의 낮은 전력 생산시에도 인버터가 정상적으로 가동되어 일별 전력생산시간을 증대시킬 수 있는 수 있도록 하는 머신러닝 기반의 MPPT 동작전압 최적화를 위한 태양광 모듈 직병렬 변환시스템에 관한 것이다. 이를 위해 본 발명은 태양광에 노출되어 전력을 생산하는 복수의 태양광패널과; 상기 복수의 태양광패널에 각각 연결되어 해당 태양광패널로부터 출력되는 직류 전력을 교류 전력으로 변환하는 복수의 인버터와; 상기 복수의 태양광패널과 각각 연결되어 해당 태양광패널의 출력 전력값을 감지하는 복수의 출력감지부와; 상기 복수의 태양광패널과 복수의 인버터 사이에 연결되어 각 태양광패널의 출력 전력값에 따라 각 태양광패널의 출력을 어느 하나의 태양광패널로 전달되도록 하는 스위칭부와; 상기 출력감지부의 센싱데이터를 전달받아 상기 스위칭부의 스위칭 연결 제어를 수행하는 제어부;를 포함한다."
공개,역공학 및 머신러닝을 이용한 콘텐츠 추천 조정 서비스 제공 시스템(SYSTEM FOR PROVIDING CONTENTS RECOMMENDATION ALGORITHM ADJUSTMENT SERVICE USING REVERSE ENGINEERING AND MACHINE LEARNING),"H04N 21/466, H04N 21/81, H04N 21/232, G06N 20/00",N/A,N/A,1020210138055 (2021.10.18),N/A,N/A,"역공학 및 머신러닝을 이용한 콘텐츠 추천 조정 서비스 제공 시스템이 제공되며, 기 설정된 콘텐츠 분류 중 적어도 하나를 선택한 후, 선택된 분류의 콘텐츠의 노출비율이 머신러닝으로 자동조정되어 추천 콘텐츠로 출력되는 사용자 단말 및 적어도 하나의 미디어 플랫폼 내 적어도 하나의 콘텐츠 추천 알고리즘을 역공학(Reverse Engineering)으로 분석하는 역공학부, 적어도 하나의 콘텐츠 추천 알고리즘이 사용자가 원하는 콘텐츠를 추천하도록 기 설정된 콘텐츠 분류 중 적어도 하나를 사용자 단말로부터 선택받는 분류선택부, 선택된 분류의 콘텐츠의 노출비율이 머신러닝으로 자동조정되도록 적어도 하나의 머신러닝 알고리즘을 실행하는 머신러닝부, 적어도 하나의 머신러닝 알고리즘으로 자동조정된 노출비율로 선택된 분류의 콘텐츠를 적어도 하나의 미디어 플랫폼 내에서 추천하도록 조정하는 조정부를 포함하는 조정 서비스 제공 서버를 포함한다."
공개,탄성파자료를 이용한 머신러닝 기반 2단계 임피던스 역산 방법 및 장치(Method and apparatus for machine learning-based two-step impedance inversion using seismic data),"G01V 1/30, G01V 1/36, G01V 1/28, G06N 20/00",N/A,N/A,1020220169748 (2022.12.07),N/A,N/A,"본 개시의 일 구현예에 따르면, 도메인 적응 모델을 생성하고 시추공이 형성되지 않은 지역의 P파 임피던스를 예측하는 제1 단계, 및 상기 P파 임피던스를 이용하여 P파 임피던스 저주파 모델을 생성하고 역산하여 최종 P파 임피던스를 예측하는 제2 단계를 포함하는, 탄성파자료를 이용한 머신러닝 기반 2단계 임피던스 역산 방법을 제공하며, 시추공이 형성되지 않은 지역의 P파 임피던스를 정확하게 예측할 수 있다."
공개,"특히 지능형 증강 현실 애플리케이션을 위해 적어도 하나의 머신러닝 모델을 제공하는 컴퓨터 구현 방법(A computer-implemented method of providing at least one machine learning model, in particular for intelligent augmented reality applications)","G06N 3/08, H04N 13/332, H04N 13/178, G06T 5/75, G06V 10/764, G06V 10/82",N/A,N/A,1020230172110 (2023.12.01),N/A,N/A,"본 발명은 적어도 하나의 머신러닝 알고리즘을 사용하는 프로세스에 사용하기 위한 적어도 하나의 머신러닝 모델을 제공하는 컴퓨터 구현 방법으로서, 적어도 하나의 컴퓨팅 장치에 의해, 적어도 하나의 이미지를 포함하여 적어도 하나의 센서로부터 센서 데이터를 수신하는 단계; 및 제1 모듈부터 제5 모듈까지, 하나 이상의 피드백 루프를 사용하여 일련의 처리 모듈을 차례대로 또는 반복적인 프로세스로 수행하는 단계를 포함하는 컴퓨터 구현 방법이 개시된다. 제1 모듈은 제1 모듈은 센서 데이터를 수신하고, 센서 데이터의 각각의 유입 소스를 결정하며, 메타 데이터 정보를 포함하는 소스 정보를 파싱하고, 센서 데이터를 복수의 표준화된 데이터 아이템으로 변환하며, 표준화된 데이터 아이템 중 적어도 일부를 메타 데이터 정보와 연관시키고, 원격 액세스에 적합한 데이터 웨어하우스에서 관련 메타 데이터 정보와 함께 표준화된 데이터 아이템 중 적어도 일부를 수집하는 것을 포함한다. 제2 모듈은 데이터 웨어하우스에 액세스하고 데이터 웨어하우스의 표준화된 데이터 아이템당 적어도 하나의 이미지 키프레임을 식별하며, 적어도 하나의 이미지 키프레임을 나타내는 추가 정보를 각각의 표준화된 데이터 아이템과 연관시키는 것을 포함한다. 제3 모듈은 하나 이상의 기초 모델에 의해 자동으로 생성된 하나 이상의 초기 어노테이션이 수행되는 어노테이션을 위해 휴먼 머신 인터페이스를 통해 휴먼 어노테이터에게 적어도 하나의 이미지 키프레임 및 각 데이터 아이템의 관련 추가 정보를 제시하고, 휴먼 머신 인터페이스를 통해 어노테이터로부터 어노테이션을 수신하며 적어도 하나의 어노테이션이 달린 데이터세트에 대한 해당 어노테이션 정보로 적어도 하나의 이미지 키프레임을 보강하는 것을 포함한다. 제4 모듈은 교정되지 않은 프레임에 대해 업데이트된 초기 어노테이션도 제공하기 위해 적어도 하나의 어노테이션이 달린 데이터세트를 사용하여 적어도 하나의 머신러닝 모델을 생성하고 업데이트하는 것 중 적어도 하나를 포함하고, 제5 모듈은 적어도 하나의 머신러닝 알고리즘을 사용하는 하나 이상의 프로세스가 액세스하기 위해 작업별 머신러닝 모델로서 적어도 하나의 머신러닝 모델을 저장 장치에 업로드하는 것을 포함한다."
공개,머신러닝 기반 음원 인식 소프트웨어(Machine Learning Based Software for Music Recognition),"G10G 1/02, G09B 15/00, G10G 3/04",N/A,N/A,1020220167198 (2022.12.03),N/A,N/A,"본 발명은 하나 이상의 프로세서; 상기 프로세서에 의하여 수행되는 컴퓨터 및 스마트폰 소프트웨어를 로드(load)하는 메모리; 상기 소프트웨어 및 데이터를 저장하는 스토리지를 포함하고, 상기 소프트웨어는, 입력받은 하나 이상의 음원에서 하나 음악 소리를 추출하는, 머신러닝 모델 및; 상기 소프트웨어에서 추출된 음원을 인식하는 컴퓨터나 모바일 음원 인식 소프트웨어를 포함하는, 머신러닝 기반 음원 인식 소프트웨어를 포함하여 구성된다. 또한, 상기 머신러닝 모델은 대중 음악 음원에서 수집된 악기 음원, 혹은 작곡 등의 용도로 활용되는 악기 음원, 혹은 복수를 모두 활용하여 악기의 개별 부분별 소리를 학습하고, 이를 입력받은 음원에 적용하여 개별 악기의 소리를 추출하고; 상기 음원 인식 소프트웨어는, 상기 머신러닝 모델에서 수집된 데이터에서 음원을 인식하는 것을 특징으로 하는 악보 추출 소프트웨어를 포함할 수 있다. 상술한 바와 같이 본 발명에 따른 머신러닝 기반 음원 인식 소프트웨어에 의하면, 사용자들이 제목을 알고자하는 음원을 이용하여 추출할 수 있다는 장점이 있다."
