일시,댓글내용,좋아요,싫어요
2024.07.17. 01:55,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.17. 01:53,거기 찾아 가는데 십만원.,0,0
2024.07.17. 01:53,"식당이 팔아서 남는게. 없는대. 착한식당. 좀. 이상 안하냐? 자선사업가여?그냥. 내수경기가. 정말. 않좋고 울며 겨자먹기로. 그 가격에 판다고 말해. 기자야
포장하지말고. 기자정신이 없네. 기자야. 정신 챙기",0,0
2024.07.17. 01:24,대전의 성심담이 지역경제 활성화에 좋은 사례로 따라 해야함 / 일부 돈 욕심에 찌든 가게는 제외 / 저렴한 가격 / 변함없는 맛 / 합리적인 구성 / 본인만의 색깔과 자신과의 싸움을 매일 이겨내는 가게 / 지자체 홍보,0,0
2024.07.17. 01:13,약령시장 초입. 토성옥 어린 시절이 생각나네 ㅋ,0,0
2024.07.17. 01:06,앗.. 경동시장 칼국수집.. 안그래도 손님 많은데 더 몰리겠네요ㅠㅜ꼭 손님 몰릴때 가서 줄서서 먹는..ㅠㅜ,0,0
2024.07.17. 00:59,칼국수 한그릇에 9천원 받는 놈은 도둑놈,0,0
2024.07.17. 00:20,비싼집들은가지말아야함,0,0
2024.07.17. 00:17,싸서~  쌌다 ㅜ,0,0
2024.07.17. 00:13,옛날 안양중앙시장 칼국수 칼제비 2천원 생각난디ㅡ,0,0
2024.07.17. 00:10,물가올랐다고 가격을 2~3천원씩올린 가게들 요즘 임대붙은가게들보면 답이있더라,0,0
2024.07.16. 23:56,이래서사람이무식하면무섭단얘기다 너운날씨에미개하게 이열치열한다고더위식한다는과학적근거는없다 사람답게살아라,0,0
2024.07.16. 23:52,가격이 싸네요. 가보지도 않았고 맛도 안봤지만 가격대비 가성비는 아주 좋을 듯 하네요.,0,0
2024.07.16. 23:52,이더운날씨에 그냥있어도쪄죽겧는데 어떻게칼수먹을랭각을하냐,0,0
2024.07.16. 23:48,..,0,0
2024.07.16. 23:46,"비싸면 좋은 줄 아는, 그래서 바가지가 극성이라는 방증",0,0
2024.07.16. 23:40,차비가 더 들겄다~ㅋㅋㅋ,0,0
2024.07.17. 08:53,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 23:31,차비가 더들겠다;;,0,0
2024.07.17. 05:24,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 23:18,"자릿세 빼고 , 식재료 , 인건비만 하면 , 저것보다 훨씬더 좋다. 공장 학교 음식 4500 원이다.",0,0
2024.07.16. 23:17,2시간 일해야 삼겹살 1인분 먹네…,0,0
2024.07.16. 23:16,이런분들은 망할일은 없다.  진정한 장인이고  대대손손 이어받고 흥해라.,0,0
2024.07.16. 23:16,장사하시는데 저 가격이면 진짜 사장님들 대단한 기부천사입니다...,0,0
2024.07.16. 23:13,헐~~?!10년전 가격이노..?!ㅜ.ㅠ~,0,0
2024.07.16. 23:07,펙트.포인트.없어요.영어랑 국어 약해서.40년이면 시장 상가. 월세 아니고 그저 세금만 내시는거니 그분들이 저렴하게 식사재공.그것도 하나에 봉사 활동 이지요.배푸는 활동은 아름 답지요.,0,0
2024.07.16. 23:01,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 22:57,세상ㅈ에 싸고좋은건없다.,0,0
2024.07.16. 22:57,부평시장 안에도 있어요. 양도 엄청 많아요. 애들도 좋아해서 자주간답니다.,0,0
2024.07.16. 22:46,식재료 국산은 절대 못쓰겠다,0,0
2024.07.17. 00:27,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 22:37,점포세가 관건?,0,0
2024.07.16. 22:31,와.. 집근처였으면 좋겠다ㅜㅜ 음식장사 많이 안남아서 저가격에 많이 파셔야겠네,0,0
2024.07.16. 22:30,요즘은 칼국수도 만원 받더라 물가 개창렬,0,0
2024.07.16. 22:26,갯마을낙지 진짜 대박이었음,0,0
2024.07.16. 22:13,땡큐에요~~  이런곳이 늘어나야 하는데 겁나서 음식점을 갈수가 없는데 애국입니다,0,0
2024.07.16. 22:12,"대통령 부부는 저런 식당 있는지도 몰랑. ㅋㅋㅋㅋㅋ▲청약통장 묻자, 윤석열 ""집 없어서 못 만들어봤다"" 엉뚱 대답/ 중앙일보. 2021. 9. 23",0,0
2024.07.16. 22:12,거기까지 가는 시간 경비 더 나간다.,0,0
2024.07.16. 22:09,흐믓한 광고,0,0
2024.07.16. 22:09,서울 서쪽에 가끔 저런 가게들이 있어서 부럽다 나는 서울 동쪽 가까운 경기도 사는데 여기는 물가 싼 곳이 없어..😂,0,0
2024.07.16. 22:04,너무 많이 가면 주인님 힘들다  적당히,0,0
2024.07.16. 21:57,이런거 하지마라,0,0
2024.07.16. 21:54,요즘 보통 1만원 이상...몇 달전까지도 1만원 이상 점심은 먹지 않겠다라고 했는데 이것도 참 어렵네.ㅎ,0,0
2024.07.16. 21:53,이제는 비싼집은 안가야해  외식비  몇번 아끼면 저축을 할수있다 아뜰히 살아야 한다  부지들처림 살다가는 쪽박찬다,0,0
2024.07.16. 21:53,이게 ~비정상이여,0,0
2024.07.16. 21:52,이거 마시써!!!!,0,0
2024.07.16. 21:42,경주 미담영양솥밥 12가지반찬에 수제 소고기 떡갈비까지해서 12000원 입니다.,0,0
2024.07.16. 21:34,요즘 고기값 기준이 100g이던데 2명이서 200g 기별도 안가겠다,0,0
2024.07.16. 21:33,6천원 넘는 밥은 안 사먹는다,0,0
2024.07.16. 21:33,자기소유 가게가 아니면 저 가격에 팔수가 없겠다 싶을 정도로 싸네요.,0,0
2024.07.16. 21:31,"저런집은 현금내고 먹어줘야함 , 현금영수증 이딴거 하지말고.",0,0
2024.07.16. 21:23,논밭팔아 장사하는 사람들,0,0
2024.07.16. 21:21,요즘같이 어려운 세상에 활선이다.신선이 따로 있나? 사람들 구하면 신선이다.정말 살기 힘든 세상이다.하루에도 자살자들이 몇명이냐? 우리 동네에도 저런 집들이 있엇으면 얼마나 좋을까? 세상이 여유가 없다.,0,0
2024.07.16. 21:17,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 21:49,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 21:09,많이만 팔면 남는 장사져 오래된 집들은 단골이 많으니까,0,0
2024.07.16. 21:02,이정도면 먹다가 머리카락 나와도 머라 안한다 ㅋㅋ,0,0
2024.07.16. 21:00,글쎄 저런곳 대부분 사람 많거나 불편 하거나 멀거나 몇천원 더주더라도 편하고 가까운곳이 좋다.몇천원 싸다고 유난 떠는거 애들도 아니고,0,0
2024.07.16. 20:51,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 20:47,배고프다요,0,0
2024.07.16. 20:45,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 20:35,이런 착한가게들은 더 알려줘서 더 잘되게 해줘야 한다.,0,0
2024.07.16. 20:34,이런 착한식당 소개하는 앱 개발이 시급하다.,0,0
2024.07.16. 20:27,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 20:25,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.17. 00:55,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 20:19,찾아가야지 ㅎㅎ,0,0
2024.07.16. 20:18,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 20:05,혹시나 하고 봤더니 역시나 경동시장 ㅎㅎ 👍👍,0,0
2024.07.16. 23:03,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 20:25,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 19:44,이런곳이 대박나야지,0,0
2024.07.16. 19:41,토성옥 갈비탕 맛있더라,0,0
2024.07.16. 19:40,우리동네도저런식당있었음좋겠다요!!,0,0
2024.07.16. 19:39,홍두께 칼국수는   왠만한 시장마다  다 있음 가격대 4~5천원,0,0
2024.07.16. 19:39,저는오늘천하장사소세지하나먹고출근합니다!!비도오는디맘이싱숭생숭~~아~~놀구싶당ㅋ,0,0
2024.07.16. 19:39,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 19:29,"내 아는 지인 건물주는 건물130억짜리 월3천-4천들어오고 가게오픈해서 뼈해장국 6천원에 계속팔고 ㅋ서민들만 힘듬. 있는자들이 홍보,광고,커리어쌓으려고 가격파괴",0,0
2024.07.16. 23:52,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 19:27,울산 꽃바위 버스종점앞에는 짜장면 2천원한다 맛도 기가차다 근데 7천원 8천원 하는 짜장면은 금으로 만드나?그저 돈만 챙길려고~~그래놓고 장사가 되니 안되니,0,0
2024.07.16. 19:20,재래시장 골목의 설렁탕 9000은 그렇게 싸다고 보기 어려움. 신선설농탕같은 프랜차이즈가 10000인데 나같으면 천원더주고 주차공간도 넓게 제공하고 접근성도 좋고 더 깔끔한 신선 간다.,0,0
2024.07.16. 19:20,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 19:15,서울에 저런데도 있었구나...,0,0
2024.07.16. 19:05,이거보면  광장시장상인들이 ㅈㄴ 싫어해요.,0,0
2024.07.16. 19:04,이런 음식짐 방문하는 손님들은 가격표도 중요하지만이 가게가. 쭉. 유지될수 있도록 거스럼돈 기부미 하시면 좋을듯 합니다,0,0
2024.07.16. 18:42,저렇거 팔아도 남는다는거잖아..,0,0
2024.07.16. 18:32,소도시 재래시장 손칼국수 4원하는데 많더만..,0,0
2024.07.16. 18:30,좋은 가게 신문에 나면 그만두고 나간다고. 아니면 사람 너무 많아 값이 오르거나. 언론이 다 망침.,0,0
2024.07.16. 18:08,"국밥은 부산물 가지고 밤새 끓여서 많은 양을 팔 수 있는데 저렴해야 되는게 맞지않나 싶기도 하고... 13,000원 넘어가면 부담되는게 맞긴 함",0,0
2024.07.16. 18:02,착한가격 식당들 지역마다 홍보좀해라!!,0,0
2024.07.16. 17:57,우리집에서 너무 멀어요...교통비가 더 들겠어요,0,0
2024.07.16. 17:56,예전엔 기사식당이 가성비가 짱인데..밥도 리필되고~ 그래서 가성비로 유명해진 기사식당이 메뉴 요금을 올리더라구... ㅋㅋ 돈독 올라서... 그래도 아직도 이런데가 남아있다니 신기할따름,0,0
2024.07.16. 17:52,"참 조심해야 한다...이런 기사 보면 당장 달려가서 먹고 싶은 마음 들게 만드는 것은 좋은데, 이렇게 싸게 안 파는 나머지 자영업자들을 다 도둑놈으로 만들어버린다. 여기 댓글만 봐도 그렇고. 전체적인 물가를 잡는 것이 첫번째, 자영업자에게 제일 비싼 임대료 잡아내는게 두번째, 그리고 실력있고 싸게 파는 집들 칭찬해주는게 세번째 아닐까",0,0
2024.07.16. 17:49,흥해라~~~토성옥.....그나저나 오늘같이 비가 오는 날에 칼국수 한 그릇 잡아 당기면 캬아~~~~~좋으련만...,0,0
2024.07.16. 17:32,흥하시길~,0,0
2024.07.16. 17:30,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 17:17,야~~~ 밀키트로 장사하는집 봤다. 국밥 만천원 받드라. 자멸해위 아닌가?,0,0
2024.07.16. 17:11,칼국수먹고칼드는놈들칼뽑아버리자,0,0
2024.07.16. 17:09,그렇게 욕하는 제주도도 4천원 짜장면도 있습니다. 착한가게를 찾아다니는게 여러모로 정신건강에도 좋구요..,0,0
2024.07.16. 16:59,"이러고도 남는 장사인데, 이런저런 핑계로 음식값 올려 처먹는 🐕 자식들은 얼마나 남겨 배터지게 처먹고 있을까.
안되는 자식들이 정부 보조금이나 달라고...",0,0
2024.07.16. 16:27,"아....토성옥...부모님 때부터 자주 갔었던 곳인데...아직도 하시고 계시네요 지금 사람들 기준에 맛집이랄수 있을지는 모르지만
정말 정겹고 그리운 곳",0,0
2024.07.16. 16:03,불편한 진실 한가지 음식값에 세금이 15% 세제 혜택이 없으면 박리다매는 불가능,0,0
2024.07.16. 16:43,이거보면 음식장사 너무 많이 남겨 먹는다.,31,32
2024.07.16. 17:15,"더듬당 짐승들, 그리고 1찍  좀비들이 망쳐 놓은 대한민국.",6,7
2024.07.16. 17:05,음식값 은  70 ~ 80 %가  이윤인  가보네 ... 자영업자들  힘들다  말고  음식값  20 ~ 30%  낮추자,3,4
2024.07.17. 02:13,가성비 맛집이란 표현 쓰지않으면좋겠네요. 이모님들 목숨 싼값에 갈아넣어서 그 가격에 나오는겁니다. 내가 무언가를 저렴하게 즐긴다는거는 그분의 무급 노동력이 들어간다는거니까요,2,3
2024.07.17. 10:01,이런 기사뜨는건 수입에비해 물가가 너무나 높다는건데 정부는 대책이있나?대한민국은 무정부상태인가?기초시급1.7%올렸으면 그에준하게 물가를 잡던지 아니면 기초시급을 더올리든지 애꿎은 서민들은 어찌살라고 계속 몇년째 물가상승율보다 낮은기초시급상승을 하는거요.대한민국 정부 경제부처는 대답해보시오.,1,2
2024.07.17. 03:10,싼값에 자영업자들 착취하니까 좋니?   누가 시간당 4000원에 열심히 일해준다고 하면 착한 직원이라고 칭찬 할거니?,1,2
2024.07.16. 22:22,비싸게 팔고 10명. 오는것. 보다 싸게 팔고 100명. 오는것이. 훨씬 득이다. 맛있게 하고 소문나면. 성공한다,1,2
2024.07.16. 22:18,칼국수는 솔직히 원가 천원도 안할텐데?,1,2
2024.07.16. 21:00,제발 제값주고 제대로 된 음식을 먹는 사회가 됐으면 좋겠다. 와 정말 싸다 좋다 이러는데 과연 저것도 제대로 된 값일까? 본인이면 저값에 판매 할 수 있을까? 물롬 싸게 팔아서 소비자는 좋지만 대부분의 소비자들이 싼거 원가 타령만하니 이싱함 사회가 되어간다.,1,2
2024.07.16. 16:58,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.17. 10:24,ㅋㅋㅋㅋ칼국수의 원가는 1천원도 안하지....근데 왜 상인들이 가격을 올리느냐하면.....그만큼 화폐의 가치가 떨어져버리니깐.....기존에 3천원의 이익을 보는건 같지만....3천원의 가치가 예전하고 지금하고 다르니깐...무조건 가격을 올리는거지....결국 임금인상이나 인플레는 예전과 같은 금전적이익을 주더라도....그 이익의 사회적 가치가 떨어진다는데 더 큰 문제가 있는 거고..그래서 문재앙의 소득주도 성장은 가장 무책임하고 사악한 정책이었다는거다...ㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉ,0,1
2024.07.17. 09:53,인건비는최고존데  싼것만찾아다니는 족속들은 창피한줄알아라 .. 칼국수집사장 땀으로 만든 열정페이국수다 이놈드라,0,1
2024.07.17. 09:02,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.17. 08:29,덤핑이 주는 해악도 생각해봐..모든건 양날의 검이다..,0,1
2024.07.17. 08:06,이렇게 발로 뛰는 기자가 참 기자. 놋북에서 소설이나 쓰고 있는 자들 반성하고,0,1
2024.07.17. 05:41,이런기사 좋습니다 가봐야 겠습니다,0,1
2024.07.17. 02:57,그것도  못  사 묵는  사람  만아요  가진것들   쓰는거랑  비교  마시오,0,1
2024.07.17. 01:38,망할 소주도 서울에서 오천원 받고있다.ㅡㅡ저 식당은 대성하시길,0,1
2024.07.17. 10:19,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.17. 00:49,참고로 국수가 마진이 개쩔어요... ㅎㅎ 한그릇 원가 1200원임,0,1
2024.07.16. 23:46,서민경제가 이 지경이 될때까지 석려리는 뭐한겨~~진짜 무능한거 잘못 뽑아서 전국민이 고생하네~~재앙이 욕한게 다 미안할 지경이네~경제 잔짜 큰일이다,0,1
2024.07.16. 22:50,저렇게 싼 가격에도 파는 상인이 있는 반면. 이런저런 핑계 ㅈㄴ 대면서 비싸게 처 파는 상인은 뭐지,0,1
2024.07.16. 21:20,매처눤아끼다 선니미아이고 웬그으지샤크냐 이리댄데이^^와 네던내고 그으지샤크치긒당하누^^,0,1
2024.07.16. 20:55,"그런데,… 카드는 안받아요~~",0,1
2024.07.16. 20:07,지갑 닫는중에 이가계들은 흥함  적은 마진 많이 팜 수익은 좋음,0,1
2024.07.16. 19:56,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 20:21,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 18:59,난 중국산 김치 먹기싫어 식당 안간다,0,1
2024.07.16. 18:49,인건비가 음식가격을 좌우함 혼자서 하면 충분히 저렴한 가격에 맛있는 음식을 내 놓을 수 있다,0,1
2024.07.16. 18:06,댓글로 착한음식점 남겨주시면 참고하겠습니다. 감사합니다!! 독립문 도깨비칼국수집 저장완료요~~~^^,0,1
2024.07.17. 06:49,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 17:32,장사 안된다고 가격 올리지말고 박리다매 하면 돈도 따라올겁니다 착한가개 화이팅,0,1
2024.07.16. 20:00,2찍이들은 룡산 년놈만 봐도 배부르다고 하던데?,1,3
2024.07.17. 10:07,◆ 설겆이나 제대로 하겠냐? ㄷㄷ  덜어워서 안가요~   의자에 앉으면 시장바닥 딍굴던 것들 오물이 묻어서 옷도 덜어워질 것 같음.,0,2
2024.07.17. 08:28,싸긴하네. 원래 저 금액 음식도 많았는데 소득주도 성장한다며 헛발질 하는 바람에 이꼴난거임.,0,2
2024.07.17. 08:21,아무리 그래도 남는 장사해야죠. 2천원 올려도 되겠어요,0,2
2024.07.17. 04:23,쓰레기 광고,0,2
2024.07.17. 01:17,저가격이 놀라워진게 놀랍다 불과 몇년사이 최저임금 올라봤자 귀족노조 대기업 이미 훨씬 받는 사람들이 이상하게 올려달라하고 나머진 그냥 최저임금 ..누굴위한 최저임금인지 ..식당 유통 다 사람이 일한다 최저임금올라 한달에 5만원 더받느니 짜장면 오천원이 나은데 양산책방북쪽찬양지잘난분은 전혀 책임없다고 하니뭐 제조업 망조들고 있다 핵심기술마저 해외 수주준다,0,2
2024.07.16. 19:18,싸게 판다고 좋은 일일까? 합당한 가격을 받아야지 주변의 같은 상인들한테 피해를 주는 건 아닌지도 생각해 봐야 할 듯.,3,6
2024.07.16. 17:12,경동시장 칼국수는 거의 허접함..풀떼기수준,1,4
2024.07.17. 06:49,------사용자에의해 삭제된 댓글입니다.------,0,0
2024.07.16. 21:58,자영업지들이 적게팔고 힘이 많이 안들게 장사  하는거같다  옛날에는 많이팔고 남겼는데 이제는 적게팔고 비싸게하여 매출을 맟추는것같다 그래서 소비자들이 손해를 본다,0,3
2024.07.16. 19:51,한동훈 가발은 얼마냐?,0,3
2024.07.16. 16:59,"그런 개소리나 쓰지 말고 윤멧돼지의 정치로 온나라가 힘들다고 기자들이 쓴소리 자꾸 해야지 ,   입 꾹 쳐 다물고 있으니 멍청한 윤 잡도리가  지가 정치 잘하고 있는지 알고 있잖어",0,3
2024.07.16. 20:07,저런가격에 팔아서 뭐가 남나?? 주위에서 장사하는 사람들이 안좋아하겠네 박리다매질로 여럿 힘들게 한다고,0,4
2024.07.16. 17:30,4천원짜린 4천원짜리맛일뿐ㅋㅋㅋ 그놈의가성비타령 지겹닼ㅋㅋㅋ없는애들의 자존심은 가성빜ㅋㅋㅋㅋㅋ,2,7
2024.07.16. 20:02,식당이 음식을 적정가격이 아니라 싼가격에 많이 팔겠다는건 종업원들 골병들고 주인또한 골병들게 하는 바보같은 짓이고 주변 식당은 망해도 상관없다는 이기주의적인 생각이다.. 지나친 출혈경쟁은 다같이 죽자는것과 같다.. 식당은 유통업이 아니라 노동집약적 서비스 산업이다,1,6
2024.07.16. 21:21,월세가 아니라 자기 가게에서 하면 저 가격에 팔아도 남을 걸요. 솔까 우리가 사먹는 음식 가격의 절반이 가게 임대료임.,0,5
2024.07.16. 17:15,서민들은 고통받는데 부자감세 같은 헛소리나 하는 용산 술돼지 ㅉㅉ,0,5
2024.07.16. 20:56,커피는 7~8천원 짜리 쳐마시면서 밥값 만원한다하면 비싸다 징징짜는것들,1,7
2024.07.16. 17:12,"식당은 팔아도 남는 게 없고 서민들은 외식을 하기가 버거운 나라가 되어버렸습니다. 이게 다 2찍님들과 굥쥴리, 무당 덕분입니다. 3년후에 두고 봅시다.",3,11
2024.07.16. 20:11,무조건 저렴하다고 좋아하면 개돼지죠. 저렴하면 저렴한 이유가 있습니다. 위생이든 원산지든 저렴한 이유가 있죠,1,10
